u,u0,soc,bd,c,c2,c0,sx,dP,xl,soci,socd,Pc,Pd,nc,nd,Q,ts,tf,agc,mod
1,1,0.410054461200904,0,1,0,0,8,4.9120821185669445,"[[], [], []]",0.3166728381486202,0.836350432082805,5.364170604709341,5.364170604709341,0.9157207107198461,0.9157207107198461,23.934017110592976,18.544630020236067,23.92253950602658,0,0
1,1,0.8392677469112074,0,0,1,1,16,0.0,"[[], [], []]",0.27385821606698746,0.8265964403208997,5.038980144573868,5.038980144573868,0.8964787099530845,0.8964787099530845,27.430769641702184,14.704702294505836,21.434539931730683,0,0
1,1,1.0,1,0,1,1,19,0.0,"[[], [], []]",0.20354300647670354,0.8129528665268984,5.2267673798696705,5.2267673798696705,0.8904516029890883,0.8904516029890883,20.550103805649353,0.4855075049032278,19.301466140680667,0,0
1,1,0.7068003933155897,0,0,1,1,14,0.0,"[[], [], []]",0.28973256283969456,0.7999294022761009,5.198027734241582,5.198027734241582,0.915637074855309,0.915637074855309,25.704398196588354,16.259232161756188,23.993513326176476,0,0
1,1,0.9649034611501409,0,0,1,1,19,0.0,"[[], [], []]",0.24933591384228448,0.77355077193726,6.475594498411258,6.475594498411258,0.8942794105944804,0.8942794105944804,22.566681317439038,15.223755572620195,23.444027902221865,0,0
1,1,1.0,1,0,1,1,19,0.0,"[[], [], []]",0.28587320045120235,0.8278251112785607,5.936062915102061,5.936062915102061,0.8954300131606276,0.8954300131606276,22.32396267238652,13.063027183424197,23.612412421240094,0,0
1,1,0.24163220107157898,0,1,0,0,4,5.803991082116186,"[[], [], []]",0.2198825920064555,0.7878090065608606,6.473023493073884,6.473023493073884,0.8966429811859078,0.8966429811859078,27.94564454272855,18.894757112158263,23.46934389424654,0,0
1,1,0.7699078330311362,0,0,1,1,15,0.0,"[[], [], []]",0.39041836537559177,0.8213403652275523,6.538112851247195,6.538112851247195,0.9460360668394476,0.9460360668394476,27.256817782466314,16.72269775982217,23.535511547781667,0,0
1,1,0.36901282984173744,0,1,0,0,7,5.655019778424103,"[[], [], []]",0.28878555640485604,0.797237151671222,6.0740231085537175,6.0740231085537175,0.9310171656180309,0.9310171656180309,24.239867378471434,18.655596496970148,21.49079466973994,0,0
1,1,0.9150444561872852,0,0,1,1,18,0.0,"[[], [], []]",0.3410082918049362,0.8115649914810965,6.15201090861674,6.15201090861674,0.922356950148309,0.922356950148309,25.133059759411662,15.457455889167635,23.751690314990235,0,0
1,1,0.542501921807598,0,1,0,0,10,4.786915164627673,"[[], [], []]",0.2404603648155356,0.7972128036550683,5.304431785889237,5.304431785889237,0.9024369353493708,0.9024369353493708,29.577481872914568,16.970684364714188,23.736251645852796,0,0
1,1,0.3317042365490389,0,1,0,0,6,6.605141149879555,"[[], [], []]",0.3185832258828388,0.8093309760699309,6.9816880354467905,6.9816880354467905,0.946066498008008,0.946066498008008,26.148929852747102,18.94771631896003,23.850123589343355,0,0
1,1,0.7269868059083674,0,0,1,1,14,0.0,"[[], [], []]",0.3592787998078867,0.8181693255294947,5.905812339031025,5.905812339031025,0.9016940762690447,0.9016940762690447,20.665111046893603,17.08140562974795,23.972057699576013,0,0
1,1,0.9673047846551425,0,0,1,1,19,0.0,"[[], [], []]",0.35850894073718753,0.8192619730430728,6.374893250790597,6.374893250790597,0.9390494456616219,0.9390494456616219,28.218121851740364,15.130287390440333,20.961018375529505,0,0
1,1,0.7782174870035818,0,0,1,1,15,0.0,"[[], [], []]",0.3216722102144734,0.725503436196324,6.654857633457656,6.654857633457656,0.9360389498800706,0.9360389498800706,21.943005527790973,16.8034399341816,21.829561139315203,0,0
1,1,1.0,1,0,1,1,19,0.0,"[[], [], []]",0.29014313799684,0.7992224067565854,6.438947265050163,6.438947265050163,0.8881471740120452,0.8881471740120452,27.841160520495148,14.348086414958475,22.9934910321941,0,0
1,1,1.0,1,0,1,1,19,0.0,"[[], [], []]",0.2961628797121962,0.8268774213687102,6.244459400257544,6.244459400257544,0.8900138459663204,0.8900138459663204,21.799231782117545,6.801117494718564,23.84132493417215,0,0
1,1,0.7858249443923129,0,0,1,1,15,0.0,"[[], [], []]",0.3621042116907202,0.7828944035225732,5.438541165379766,5.438541165379766,0.9324398864287745,0.9324398864287745,25.744494088854456,16.220565610641092,23.750482976466664,0,0
1,1,1.0,1,0,1,1,19,0.0,"[[], [], []]",0.29099436405080104,0.8424542980653243,5.3922281770538705,5.3922281770538705,0.8922973942439026,0.8922973942439026,20.645701186164,14.723024990067334,22.20224901178895,0,0
1,1,0.8747859436396616,0,0,1,1,17,0.0,"[[], [], []]",0.2376924310803711,0.832123553286399,5.288090394972037,5.288090394972037,0.9002174289418764,0.9002174289418764,21.67131269473619,15.109983177932795,23.52362699171027,0,0
1,1,0.6910852626372034,0,0,1,1,13,0.0,"[[], [], []]",0.2585842847095067,0.8039552767046433,6.244543469316157,6.244543469316157,0.9385420607892959,0.9385420607892959,27.03815973922443,16.59302604089298,23.863363067410454,0,0
1,1,1.0,1,0,1,1,19,0.0,"[[], [], []]",0.3427975899936757,0.7393833408234508,5.193910903344234,5.193910903344234,0.9032348579258594,0.9032348579258594,24.628875115934513,9.514510253496482,22.944417778817623,0,0
1,1,0.6383611129309892,0,1,0,0,12,5.493971924044753,"[[], [], []]",0.2821524075180769,0.8334186775378549,5.890938339366656,5.890938339366656,0.9326140603663862,0.9326140603663862,21.487581271920373,17.321825150702814,22.003068098762277,0,0
1,1,0.8513536747990935,0,0,1,1,17,0.0,"[[], [], []]",0.28273669646309335,0.8104305393554332,5.867630797935812,5.867630797935812,0.9241663507017066,0.9241663507017066,25.0487917779079,15.421179381710422,23.6951837509909,0,0
1,1,0.9650005962659787,0,0,1,1,19,0.0,"[[], [], []]",0.3197528625053125,0.8341174414752358,5.853281912479388,5.853281912479388,0.9210068222156234,0.9210068222156234,24.154049665103383,15.125626310446595,21.593739385252128,0,0
1,1,0.701884763407786,0,0,1,1,14,0.0,"[[], [], []]",0.29749611842741513,0.8115247499559001,5.035668407614422,5.035668407614422,0.8808084224146072,0.8808084224146072,22.361418888262705,16.5337699414911,21.4308297247865,0,0
1,1,0.8548630220396803,0,0,1,1,17,0.0,"[[], [], []]",0.28387862162431343,0.7920375619254671,6.916536016311883,6.916536016311883,0.9482024359271486,0.9482024359271486,29.071818229702785,15.715859454354158,23.588485000457325,0,0
1,1,1.0,1,0,1,1,19,0.0,"[[], [], []]",0.39533178948640774,0.8245556690624808,6.563771562328849,6.563771562328849,0.9419047734997661,0.9419047734997661,25.48159060056256,11.582821813952023,22.917997693046942,0,0
1,1,1.0,1,0,1,1,19,0.0,"[[], [], []]",0.36729587630901206,0.7973999517462674,6.529163704038635,6.529163704038635,0.8868269312319977,0.8868269312319977,22.081630743465254,11.504690243578683,23.383805398695866,0,0
1,1,0.3898916644884178,0,1,0,0,7,5.013446895911326,"[[], [], []]",0.20224433117837654,0.8038881467571403,5.563191318282188,5.563191318282188,0.9011818233602268,0.9011818233602268,23.540988763507343,18.055902021176543,23.621785718303144,0,0
1,1,1.0,1,0,1,1,19,0.0,"[[], [], []]",0.29136184869708126,0.7776865008160013,6.882588320562939,6.882588320562939,0.9162925472171514,0.9162925472171514,21.57151469082055,13.531945996070426,23.730229111173507,0,0
1,1,0.3202387595789043,0,1,0,0,6,5.106443396253237,"[[], [], []]",0.30683425947655035,0.8376527210466271,5.535323896269276,5.535323896269276,0.9225193488126145,0.9225193488126145,24.12682899722405,18.936245996235012,23.845041005056032,0,0
1,1,0.7829026567139787,0,0,1,1,15,0.0,"[[], [], []]",0.3632055585616884,0.788787984193076,6.407269403757876,6.407269403757876,0.8829986871615211,0.8829986871615211,23.07055752514526,16.681340397225,22.063493054041388,0,0
1,1,1.0,1,0,1,1,19,0.0,"[[], [], []]",0.3662435091524018,0.786546802335958,6.728873473651386,6.728873473651386,0.9057490814343903,0.9057490814343903,25.90151328224143,13.130474824472799,23.869028710663677,0,0
1,1,0.41840654364789326,0,1,0,0,8,5.461410690064239,"[[], [], []]",0.27836635940758025,0.8141339818403421,6.045567424294463,6.045567424294463,0.9033743744412218,0.9033743744412218,29.368325124925747,18.20413461158326,23.670486468568654,0,0
1,1,0.7247485594632435,0,0,1,1,14,0.0,"[[], [], []]",0.23701535431059662,0.7710137072237164,5.485300640876745,5.485300640876745,0.9174484621168179,0.9174484621168179,24.215336277837938,16.14589868811253,23.328262398728896,0,0
1,1,0.713237510068336,0,0,1,1,14,0.0,"[[], [], []]",0.30597606424471363,0.7984841805177898,5.008084224255276,5.008084224255276,0.8927701464500252,0.8927701464500252,22.048327748215158,16.503324663510604,22.756369251522948,0,0
1,1,0.7582006465356833,0,0,1,1,15,0.0,"[[], [], []]",0.2943162832277905,0.8150029279527261,5.961945847162005,5.961945847162005,0.9192972342450269,0.9192972342450269,29.55887143745244,15.918749717679043,23.376483584883097,0,0
1,1,0.8042060117957907,0,0,1,1,16,0.0,"[[], [], []]",0.2516204461296373,0.813684267736559,5.503601839250983,5.503601839250983,0.9145567846933335,0.9145567846933335,29.590902847077523,15.078315799603955,23.942715803161345,0,0
1,1,0.5527229775290811,0,1,0,0,11,6.271639882315589,"[[], [], []]",0.3000749153839886,0.8014443351827732,6.657344242323588,6.657344242323588,0.9420633294646368,0.9420633294646368,28.498056948681686,17.70697827074144,23.77591988797765,0,0
1,1,0.49538599843903236,0,1,0,0,9,4.646902510185637,"[[], [], []]",0.36126298502753695,0.8071348020222442,5.103898188635222,5.103898188635222,0.9104614430853712,0.9104614430853712,27.130189921697227,18.109975959243517,23.09031793910799,0,0
1,1,1.0,1,0,1,1,19,0.0,"[[], [], []]",0.3265635608192442,0.8351473876069329,5.0013194187149415,5.0013194187149415,0.9004039893740032,0.9004039893740032,22.277584793626307,12.130109703388737,23.779757086633587,0,0
1,1,0.46366963254426197,0,1,0,0,9,4.91737860212145,"[[], [], []]",0.26787890246948853,0.8302242710231583,5.333791024613058,5.333791024613058,0.9219293705790026,0.9219293705790026,24.432091959479543,17.94332103146669,23.054600157569904,0,0
1,1,0.6648654647740396,0,0,1,1,13,0.0,"[[], [], []]",0.3056151642478409,0.7708194951011572,6.496075187333055,6.496075187333055,0.9386540428572152,0.9386540428572152,23.003198035757052,17.300554172676318,21.88631902423929,0,0
1,1,1.0,1,0,1,1,19,0.0,"[[], [], []]",0.34861169432019035,0.7700178473599956,6.398697400857169,6.398697400857169,0.8802547268647308,0.8802547268647308,23.34831159379255,14.767734236236567,23.411866087269757,0,0
1,1,1.0,1,0,1,1,19,0.0,"[[], [], []]",0.2381078851442915,0.8287338828713707,6.576592948327887,6.576592948327887,0.9402500666193245,0.9402500666193245,25.313748991515425,13.016689171931919,20.919318920836783,0,0
1,1,0.8531216988807537,0,0,1,1,17,0.0,"[[], [], []]",0.3538833941086377,0.8144883783213017,5.806400751637786,5.806400751637786,0.922027689910554,0.922027689910554,28.61374126302566,15.333941154740646,22.532127890505706,0,0
1,1,0.8501140481153933,0,0,1,1,17,0.0,"[[], [], []]",0.27678703908272645,0.8143326611355339,6.090578905107957,6.090578905107957,0.8885386384686553,0.8885386384686553,29.861830561295182,14.99666051642302,23.309891678451507,0,0
1,1,0.628718734415054,0,0,1,1,12,0.0,"[[], [], []]",0.2551208916647552,0.8303314308822257,5.554148206949791,5.554148206949791,0.9095244810837644,0.9095244810837644,29.03092771045598,16.53354877150837,23.972325217652024,0,0
1,1,1.0,1,0,1,1,19,0.0,"[[], [], []]",0.2984191353364674,0.8502465840673012,6.089574391752207,6.089574391752207,0.9074949901758108,0.9074949901758108,28.561847556630283,13.16667548235111,22.62402210453137,0,0
1,1,0.3514980094266049,0,1,0,0,7,6.304325975126137,"[[], [], []]",0.3209272607628256,0.793037596070875,6.823457524448795,6.823457524448795,0.9239195748691066,0.9239195748691066,22.741577792873073,18.889297051595438,23.89112316887619,0,0
1,1,0.9660309817066395,0,0,1,1,19,0.0,"[[], [], []]",0.3116179721023447,0.7883688844492969,5.348386420734705,5.348386420734705,0.9163882416278959,0.9163882416278959,25.737058366273747,14.57911729000013,23.0681964209122,0,0
1,1,1.0,1,0,1,1,19,0.0,"[[], [], []]",0.23420126032307523,0.7927395255424866,6.612979749053958,6.612979749053958,0.8804958435455722,0.8804958435455722,20.07513292275222,14.017046930938662,22.9117985032999,0,0
1,1,1.0,1,0,1,1,19,0.0,"[[], [], []]",0.32093211195383214,0.8487782153591982,6.993685545359831,6.993685545359831,0.945482025766549,0.945482025766549,21.983655514635366,15.534864679634484,23.617558862296598,0,0
1,1,0.4888281951656468,0,1,0,0,9,4.697702368512475,"[[], [], []]",0.3492665088471123,0.8010780771507924,5.297864895675204,5.297864895675204,0.8867161509436267,0.8867161509436267,25.338802094723725,18.157853199712022,22.59507944693301,0,0
1,1,0.42205587585790383,0,1,0,0,8,5.092363632702519,"[[], [], []]",0.2979889780101901,0.7337285331049243,5.512013723907651,5.512013723907651,0.9238662833176642,0.9238662833176642,28.754516278608683,18.251388741906204,22.224576052633957,0,0
1,1,0.6009483740417095,0,0,1,1,12,0.0,"[[], [], []]",0.2979525910000167,0.8329055893033299,6.388571380204034,6.388571380204034,0.9009632515804573,0.9009632515804573,27.120734659936065,17.330943177687466,23.571322178498043,0,0
1,1,0.6224054223385971,0,0,1,1,12,0.0,"[[], [], []]",0.3039633765813291,0.8147282867344903,5.490965450450186,5.490965450450186,0.9068372662222529,0.9068372662222529,25.520720171524435,17.066516763292523,23.71536434362408,0,0
