PV_1,PV_2,PV_3,PV_4,PV_5,PV_6,PV_7,PV_8,PV_9,PV_10,Slack_10
0.15284307804357283,0.14110951810589384,1.0474856625889896e-11,0.14102324987921314,0.12972201478302078,0.13360738016224602,1.1696430967750411e-11,0.13599249428859345,0.15181168883289295,0.013890575765673685,1.1672201943142051e-10
0.14898194321767627,0.13067399188683607,1.336366656048104e-10,0.14557993010207027,0.1273411833893148,0.13920402413788177,1.4324478090746566e-10,0.13174313673937407,0.15013449658972602,0.02634129218135276,1.4788864481284048e-09
0.1412673029031957,0.143006279583951,1.8275201401073045e-10,0.13698767722004282,0.13645955361091236,0.1336051306093708,1.9465721560402737e-10,0.14093726016689326,0.14239811682253437,0.025338676741350295,1.964340276557903e-09
0.14015328419882028,0.14384137436214461,2.0585215618353072e-10,0.13696192585336125,0.13742865363348553,0.13324637063310274,2.1928533268544908e-10,0.14201700959823485,0.14174086841061376,0.024610510617211128,2.267888336852958e-09
0.17751715800885146,0.14614772484485897,8.798741963666798e-11,0.1441700986466073,0.13097873322719272,0.12267569656702337,9.377994375126891e-11,0.13836470661752812,0.14014588092378552,0.0,9.823851990887432e-10
0.2904428701464166,0.0,3.120407815188635e-11,0.18694233232300372,0.17254773289180692,0.16431832601908922,3.3243818957491234e-11,0.18574873820549853,0.0,0.0,3.4973717174973456e-10
0.2832669742712825,0.0,7.781814029855413e-11,0.18882003138637105,0.17496996029867018,0.165030646239314,8.293444891093776e-11,0.1879123867664946,0.0,0.0,8.771149737742276e-10
0.1720159451647335,0.14581673345128066,5.997407664264176e-10,0.1439579710868209,0.1324688516602624,0.12545820751889203,6.387386232006798e-10,0.13893298452541733,0.14134929812665892,0.0,7.227454890064734e-09
0.21123334013165845,0.16314473620823408,1.9184736564169041e-10,0.16252357646884077,0.1540238548941944,0.14848789606832777,2.0444734871039925e-10,0.16058659355903926,0.0,0.0,2.2734105981901107e-09
0.2799110024347067,0.0,9.562288740698908e-11,0.18903418729088545,0.1761447802917447,0.1669592209024807,1.0191703178501904e-10,0.1879508077852397,0.0,0.0,1.0974029223817215e-09
0.2820334922279633,0.0,9.716621443106139e-11,0.1886732927906571,0.17543917102864073,0.1670331704181183,1.0353191286267148e-10,0.18682087224541657,0.0,0.0,1.088505939518781e-09
0.28341135312299326,0.0,6.61737472968323e-11,0.18863018142215882,0.1750605553655173,0.16510203209216923,7.053759928164988e-11,0.18779587711157042,0.0,0.0,7.488795558122236e-10
