time,ne
0.016666666666666666,0.0124
0.03333333333333333,0.0244
0.05,0.0349
0.06666666666666667,0.0446
0.08333333333333333,0.0559
0.09999999999999999,0.0659
0.11666666666666667,0.0765
0.13333333333333333,0.0855
0.15,0.0967
0.16666666666666666,0.1056
0.18333333333333332,0.1171
0.19999999999999998,0.1278
0.21666666666666667,0.1378
0.23333333333333334,0.151
0.25,0.161
0.26666666666666666,0.1704
0.2833333333333333,0.1786
0.3,0.1879
0.31666666666666665,0.1968
0.3333333333333333,0.2062
0.35,0.2164
0.36666666666666664,0.2248
0.3833333333333333,0.2336
0.39999999999999997,0.2426
0.4166666666666667,0.2519
0.43333333333333335,0.2615
0.45,0.2694
0.4666666666666667,0.2767
0.48333333333333334,0.2867
0.5,0.2952
0.5166666666666667,0.302
0.5333333333333333,0.3111
0.55,0.3194
0.5666666666666668,0.3267
0.5833333333333334,0.3334
0.6000000000000001,0.3405
0.6166666666666667,0.3485
0.6333333333333334,0.3567
0.65,0.3634
0.6666666666666667,0.3702
0.6833333333333333,0.3787
0.7000000000000001,0.3866
0.7166666666666667,0.394
0.7333333333333334,0.4011
0.75,0.4084
0.7666666666666667,0.4158
0.7833333333333333,0.422
0.8,0.4295
0.8166666666666668,0.4365
0.8333333333333334,0.4431
0.8500000000000001,0.4498
0.8666666666666667,0.4566
0.8833333333333334,0.4622
0.9,0.4698
0.9166666666666667,0.4759
0.9333333333333333,0.4825
0.9500000000000001,0.4889
0.9666666666666667,0.4953
0.9833333333333334,0.502
1.0,0.5094
1.0166666666666666,0.5147
1.0333333333333332,0.5215
1.0499999999999998,0.5269
1.0666666666666667,0.532
1.0833333333333333,0.5372
1.0999999999999999,0.5419
1.1166666666666667,0.5475
1.1333333333333333,0.5527
1.15,0.558
1.1666666666666665,0.5621
1.1833333333333333,0.5672
1.2,0.5722
1.2166666666666666,0.5788
1.2333333333333332,0.5836
1.25,0.5878
1.2666666666666666,0.5935
1.2833333333333332,0.598
1.2999999999999998,0.6039
1.3166666666666667,0.611
1.3333333333333333,0.6159
1.3499999999999999,0.621
1.3666666666666667,0.625
1.3833333333333333,0.6292
1.4,0.6336
1.4166666666666665,0.6388
1.4333333333333333,0.6429
1.45,0.6476
1.4666666666666666,0.6513
1.4833333333333332,0.6567
1.5,0.6611
1.5166666666666666,0.6642
1.5333333333333332,0.6689
1.5499999999999998,0.6723
1.5666666666666667,0.677
1.5833333333333333,0.6813
1.5999999999999999,0.6863
1.6166666666666667,0.692
1.6333333333333333,0.6968
1.65,0.7011
1.6666666666666665,0.7043
1.6833333333333333,0.7093
1.7,0.7132
1.7166666666666666,0.7172
1.7333333333333332,0.7204
1.75,0.7231
1.7666666666666666,0.7269
1.7833333333333332,0.7301
1.7999999999999998,0.7334
1.8166666666666667,0.7359
1.8333333333333333,0.7394
1.8499999999999999,0.7418
1.8666666666666665,0.7448
1.8833333333333333,0.7479
1.9,0.7512
1.9166666666666665,0.7548
1.9333333333333333,0.7584
1.95,0.7623
1.9666666666666666,0.7657
1.9833333333333332,0.7684
2.0,0.7719
2.0166666666666666,0.775
2.033333333333333,0.778
2.05,0.7805
2.0666666666666664,0.7829
2.083333333333333,0.7862
2.1,0.7881
2.1166666666666667,0.7903
2.1333333333333333,0.7927
2.15,0.7959
2.1666666666666665,0.7989
2.183333333333333,0.802
2.1999999999999997,0.8049
2.216666666666667,0.8074
2.2333333333333334,0.8104
2.25,0.813
2.2666666666666666,0.8151
2.283333333333333,0.8178
2.3,0.8204
2.3166666666666664,0.822
2.333333333333333,0.8234
2.35,0.8256
2.3666666666666667,0.8271
2.3833333333333333,0.8287
2.4,0.8316
2.4166666666666665,0.8336
2.433333333333333,0.8352
2.4499999999999997,0.8359
2.466666666666667,0.8372
2.4833333333333334,0.8388
2.5,0.8412
2.5166666666666666,0.8437
2.533333333333333,0.8457
2.55,0.8471
2.5666666666666664,0.8493
2.583333333333333,0.8505
2.6,0.8522
2.6166666666666667,0.8533
2.6333333333333333,0.8553
2.65,0.857
2.6666666666666665,0.8584
2.683333333333333,0.8597
2.6999999999999997,0.8615
2.716666666666667,0.8626
2.7333333333333334,0.8635
2.75,0.8643
2.7666666666666666,0.8659
2.783333333333333,0.8668
2.8,0.8688
2.8166666666666664,0.8696
2.833333333333333,0.8701
2.85,0.8715
2.8666666666666667,0.8728
2.8833333333333333,0.8742
2.9,0.8748
2.9166666666666665,0.8749
2.933333333333333,0.8761
2.9499999999999997,0.8779
2.966666666666667,0.8791
2.9833333333333334,0.8799
3.0,0.8806
3.0166666666666666,0.8819
3.033333333333333,0.8832
3.05,0.8839
3.0666666666666664,0.8857
3.083333333333333,0.8855
3.1,0.8859
3.1166666666666667,0.8863
3.1333333333333333,0.8864
3.15,0.8878
3.1666666666666665,0.8886
3.183333333333333,0.8892
3.1999999999999997,0.8907
3.216666666666667,0.8917
3.2333333333333334,0.8925
3.25,0.8933
3.2666666666666666,0.8943
3.283333333333333,0.8946
3.3,0.8952
3.3166666666666664,0.8959
3.333333333333333,0.8969
3.35,0.8977
3.3666666666666667,0.8979
3.3833333333333333,0.8981
3.4,0.899
3.4166666666666665,0.8993
3.433333333333333,0.8994
3.4499999999999997,0.9
3.4666666666666663,0.9
3.4833333333333334,0.9003
3.5,0.901
3.5166666666666666,0.9016
3.533333333333333,0.9025
3.55,0.9029
3.5666666666666664,0.9032
3.583333333333333,0.9036
3.6,0.9042
3.6166666666666667,0.9048
3.6333333333333333,0.9047
3.65,0.9047
3.6666666666666665,0.9048
3.683333333333333,0.9055
