time,ace,up,dn,in
0.0,0.0,242.16040350076727,-242.1604035007674,0.0
4.0,13.43955865234273,242.16040350076727,-242.1604035007674,13.43955865234273
8.0,18.337690418585385,242.16040350076727,-242.1604035007674,18.337690418585385
12.0,26.33755857387609,242.16040350076727,-242.1604035007674,26.33755857387609
16.0,33.65764882296737,242.16040350076727,-242.1604035007674,33.65764882296737
20.0,40.68379379689963,242.16040350076727,-242.1604035007674,40.68379379689963
24.0,47.87807700096056,242.16040350076727,-242.1604035007674,47.87807700096056
28.0,54.83590185580266,242.16040350076727,-242.1604035007674,54.83590185580266
32.0,61.88043530878286,242.16040350076727,-242.1604035007674,61.88043530878286
36.0,68.85332780358203,242.16040350076727,-242.1604035007674,68.85332780358203
40.0,75.85255622644951,242.16040350076727,-242.1604035007674,75.85255622644951
44.0,82.83360821681255,242.16040350076727,-242.1604035007674,82.83360821681255
48.0,89.80173085684785,242.16040350076727,-242.1604035007674,89.80173085684785
52.0,96.14910601230386,242.16040350076727,-242.1604035007674,96.14910601230386
56.0,94.5795984083548,242.16040350076727,-242.1604035007674,94.5795984083548
60.0,92.50286448033268,242.16040350076727,-242.1604035007674,92.50286448033268
64.0,88.30449238996717,242.16040350076727,-242.1604035007674,88.30449238996717
68.0,83.14780168127093,242.16040350076727,-242.1604035007674,83.14780168127093
72.0,77.39027315413746,242.16040350076727,-242.1604035007674,77.39027315413746
76.0,71.13590894080761,242.16040350076727,-242.1604035007674,71.13590894080761
80.0,66.8220156596227,242.16040350076727,-242.1604035007674,66.8220156596227
84.0,63.09249406590962,242.16040350076727,-242.1604035007674,63.09249406590962
88.0,59.71108068456138,242.16040350076727,-242.1604035007674,59.71108068456138
92.0,56.09000457681087,242.16040350076727,-242.1604035007674,56.09000457681087
96.0,44.647426428880124,242.16040350076727,-242.1604035007674,44.647426428880124
100.0,32.811847629396944,242.16040350076727,-242.1604035007674,32.811847629396944
104.0,19.00100924094333,242.16040350076727,-242.1604035007674,19.00100924094333
108.0,7.022864776179139,242.16040350076727,-242.1604035007674,7.022864776179139
112.0,3.857013423948547,242.16040350076727,-242.1604035007674,3.857013423948547
116.0,0.2608893299822071,242.16040350076727,-242.1604035007674,0.2608893299822071
120.0,-0.7392486365143904,242.16040350076727,-242.1604035007674,-0.7392486365143904
124.0,-2.4537740761843505,242.16040350076727,-242.1604035007674,-2.4537740761843505
128.0,-5.152536986792661,242.16040350076727,-242.1604035007674,-5.152536986792661
132.0,-7.618246465359148,242.16040350076727,-242.1604035007674,-7.618246465359148
136.0,-10.434459242154583,242.16040350076727,-242.1604035007674,-10.434459242154583
140.0,-0.9578258673588546,242.16040350076727,-242.1604035007674,-0.9578258673588546
144.0,12.871290930194446,242.16040350076727,-242.1604035007674,12.871290930194446
148.0,29.281413047820898,242.16040350076727,-242.1604035007674,29.281413047820898
152.0,47.53059138339335,242.16040350076727,-242.1604035007674,47.53059138339335
156.0,58.54133695323597,242.16040350076727,-242.1604035007674,58.54133695323597
160.0,70.00243114243946,242.16040350076727,-242.1604035007674,70.00243114243946
164.0,79.7835003829097,242.16040350076727,-242.1604035007674,79.7835003829097
168.0,87.2659876263213,242.16040350076727,-242.1604035007674,87.2659876263213
172.0,88.43378893758945,242.16040350076727,-242.1604035007674,88.43378893758945
176.0,89.23504612159513,242.16040350076727,-242.1604035007674,89.23504612159513
180.0,88.11405637844196,242.16040350076727,-242.1604035007674,88.11405637844196
184.0,81.32285612616944,242.16040350076727,-242.1604035007674,81.32285612616944
188.0,67.87473583122686,242.16040350076727,-242.1604035007674,67.87473583122686
192.0,53.37777886603588,242.16040350076727,-242.1604035007674,53.37777886603588
196.0,36.47132928743985,242.16040350076727,-242.1604035007674,36.47132928743985
200.0,27.521361982186693,242.16040350076727,-242.1604035007674,27.521361982186693
204.0,20.933825173580228,242.16040350076727,-242.1604035007674,20.933825173580228
208.0,15.804553976865593,242.16040350076727,-242.1604035007674,15.804553976865593
212.0,11.718686469921218,242.16040350076727,-242.1604035007674,11.718686469921218
216.0,2.350252844936417,242.16040350076727,-242.1604035007674,2.350252844936417
220.0,-6.822932035790108,242.16040350076727,-242.1604035007674,-6.822932035790108
224.0,-17.252895352258797,242.16040350076727,-242.1604035007674,-17.252895352258797
228.0,-27.67280355045953,242.16040350076727,-242.1604035007674,-27.67280355045953
232.0,-36.823712849432084,242.16040350076727,-242.1604035007674,-36.823712849432084
236.0,-46.22268137813476,242.16040350076727,-242.1604035007674,-46.22268137813476
240.0,-55.271688275924724,242.16040350076727,-242.1604035007674,-55.271688275924724
244.0,-60.29864540856238,242.16040350076727,-242.1604035007674,-60.29864540856238
248.0,-60.410417281009856,242.16040350076727,-242.1604035007674,-60.410417281009856
252.0,-59.939756520504986,242.16040350076727,-242.1604035007674,-59.939756520504986
256.0,-57.700903043664084,242.16040350076727,-242.1604035007674,-57.700903043664084
260.0,-60.70400087371779,242.16040350076727,-242.1604035007674,-60.70400087371779
264.0,-65.24862286430427,242.16040350076727,-242.1604035007674,-65.24862286430427
268.0,-70.72097541601721,242.16040350076727,-242.1604035007674,-70.72097541601721
272.0,-78.60173324713199,242.16040350076727,-242.1604035007674,-78.60173324713199
276.0,-105.29470453949187,242.16040350076727,-242.1604035007674,-105.29470453949187
280.0,-133.61301378065042,242.16040350076727,-242.1604035007674,-133.61301378065042
284.0,-166.87078854601452,242.16040350076727,-242.1604035007674,-166.87078854601452
288.0,-203.79951521208523,242.16040350076727,-242.1604035007674,-203.79951521208523
292.0,-247.10537113469934,242.16040350076727,-242.1604035007674,-242.1604035007674
296.0,-293.7903974642058,242.16040350076727,-242.1604035007674,-242.1604035007674
300.0,-362.15972815026333,219.4991282835306,-219.49912828353067,-219.49912828353067
304.0,-271.23107862832995,219.4991282835306,-219.49912828353067,-219.49912828353067
308.0,-289.7131839103335,219.4991282835306,-219.49912828353067,-219.49912828353067
312.0,-270.62265081335494,219.4991282835306,-219.49912828353067,-219.49912828353067
316.0,-268.10037065735435,219.4991282835306,-219.49912828353067,-219.49912828353067
320.0,-244.4966932369502,219.4991282835306,-219.49912828353067,-219.49912828353067
324.0,-208.85299797215313,219.4991282835306,-219.49912828353067,-208.85299797215313
328.0,-165.38765043020035,219.4991282835306,-219.49912828353067,-165.38765043020035
332.0,-127.41919096369384,219.4991282835306,-219.49912828353067,-127.41919096369384
336.0,-91.12943387905491,219.4991282835306,-219.49912828353067,-91.12943387905491
340.0,-55.58525129018377,219.4991282835306,-219.49912828353067,-55.58525129018377
344.0,-21.090015923093755,219.4991282835306,-219.49912828353067,-21.090015923093755
