time,agc,Pr,Prc
10.0,0.0,0.0,0.0
10.000277777777777,0.0,0.0,0.0
10.000555555555554,0.0,0.0,0.0
10.00083333333333,0.0,0.0,0.0
10.001111111111108,-3.2119252890775604e-05,0.0,0.0
10.001388888888885,-3.2119252890775604e-05,0.0,0.0
10.001666666666662,-3.2119252890775604e-05,0.0,0.0
10.001944444444439,-3.2119252890775604e-05,0.0,0.0
10.002222222222215,0.03659687279658234,3.6578376652988696,3.7263361599456077
10.002499999999992,0.03659687279658234,3.6578376652988696,3.7263361599456077
10.00277777777777,0.03659687279658234,3.6578376652988696,3.7263361599456077
10.003055555555546,0.03659687279658234,3.6578376652988696,3.7263361599456077
10.003333333333323,0.09701681040873428,9.701681040873428,9.727320446923613
10.0036111111111,0.09701681040873428,9.701681040873428,9.727320446923613
10.003888888888877,0.09701681040873428,9.701681040873428,9.727320446923613
10.004166666666654,0.09701681040873428,9.701681040873428,9.727320446923613
10.004444444444431,0.16620652852113843,16.620652852113842,17.004146813396694
10.004722222222208,0.16620652852113843,16.620652852113842,17.004146813396694
10.004999999999985,0.16620652852113843,16.620652852113842,17.004146813396694
10.005277777777762,0.16620652852113843,16.620652852113842,17.004146813396694
10.005555555555539,0.23200348884841893,23.200348884841894,23.789353029608396
10.005833333333316,0.23200348884841893,23.200348884841894,23.789353029608396
10.006111111111093,0.23200348884841893,23.200348884841894,23.789353029608396
10.00638888888887,0.23200348884841893,23.200348884841894,23.789353029608396
10.006666666666646,0.29158088085751643,29.158088085751643,30.03660368595341
10.006944444444423,0.29158088085751643,29.158088085751643,30.03660368595341
10.0072222222222,0.29158088085751643,29.158088085751643,30.03660368595341
10.007499999999977,0.29158088085751643,29.158088085751643,30.03660368595341
10.007777777777754,0.3419778274112262,34.197782741122616,35.23501166834705
10.008055555555531,0.3419778274112262,34.197782741122616,35.23501166834705
10.008333333333308,0.3419778274112262,34.197782741122616,35.23501166834705
10.008611111111085,0.3419778274112262,34.197782741122616,35.23501166834705
10.008888888888862,0.3821928970909414,38.21928970909414,39.62011213804789
10.009166666666639,0.3821928970909414,38.21928970909414,39.62011213804789
10.009444444444416,0.3821928970909414,38.21928970909414,39.62011213804789
