PV_1,PV_2,PV_3,PV_4,PV_5,PV_6,PV_7,PV_8,PV_9,PV_10,Slack_10
0.1522919027738075,0.14230103062395008,3.4803186942812064e-11,0.14198382327945785,0.13647054204400044,0.13442641134744931,6.260762164865518e-11,0.14082465350687928,0.15170158853180707,0.0,4.7795237761429506e-08
0.11280257687407023,0.1553351689303506,1.8985363792160457e-10,0.15219261217684593,0.1463490586772381,0.11777187528343146,1.8716637137691244e-10,0.16154554017298312,0.15400316375823295,0.0,3.7498274983652794e-09
0.14003111865001266,0.14741326221500728,7.798619852249618e-11,0.14706317943486052,0.13521026717445392,0.13720569117837633,5.255686346715008e-11,0.14409799578268323,0.14897846531541725,0.0,2.0118645651497395e-08
0.1440751453535493,0.14566052639266003,6.414261789901415e-10,0.1452590096848144,0.13232322841912814,0.13380741121649006,7.166412445568863e-10,0.14071593868441284,0.15815834186748212,0.0,3.970233955549133e-07
0.1433324414270827,0.1449752275236195,1.5103714670141116e-11,0.14476071507555108,0.1364875505704063,0.13783676218854954,1.545222563700559e-11,0.1415522147343138,0.15105503226250114,0.0,5.618742002228798e-08
0.14316688107978864,0.14498976373723252,1.3815376841089862e-11,0.14475518442166213,0.13643826325686825,0.13797662796565854,1.4175628409970707e-11,0.14174748109448423,0.15092574304136738,0.0,5.5374947294304136e-08
0.14715522127752395,0.1448979155531085,7.348109432725919e-10,0.1446239477558813,0.13236146902162652,0.13465098123035554,8.241605765788923e-10,0.14003043417188749,0.1562793711110822,0.0,6.583195629026797e-07
0.11609273625241473,0.15448879876898605,1.7897499700327006e-10,0.15188443421562392,0.1384910989362795,0.11898051616352212,1.7449387262888755e-10,0.15448760933934616,0.1655747804527087,0.0,2.551765000024789e-08
0.14133454113662253,0.14647824382298313,5.6429628186984246e-11,0.1460329000804991,0.13638260695890014,0.13742624107798487,3.8949607937244416e-11,0.14353422891867243,0.14881122269980718,0.0,1.5209151361769766e-08
0.15502796097419697,0.14215113986267444,1.2099348741087012e-12,0.14218916614667504,0.13150154953352744,0.1377925021609664,1.2459791096365196e-12,0.13729502623299025,0.15404265237324197,0.0,2.713271454030153e-09
0.14201788229509757,0.14577532451090064,3.830333481549901e-11,0.14541764341785612,0.13653930979878354,0.13774632993211397,2.947001883606163e-11,0.1433432454960017,0.14916022053249522,0.0,4.394897786305545e-08
0.11774158835210481,0.15403019140359148,1.7884204071602914e-10,0.15153504401733311,0.1381306221121013,0.1195057359983427,1.7436795324415576e-10,0.1537960542849297,0.16526073689043444,0.0,2.6587952554319597e-08
