time,ace,up,dn,in
0.0,0.0,166.0455511868224,-166.04555118682237,0.0
4.0,4.204024624316446,166.0455511868224,-166.04555118682237,4.204024624316446
8.0,0.18651016013906846,166.0455511868224,-166.04555118682237,0.18651016013906846
12.0,-1.9499661929444765,166.0455511868224,-166.04555118682237,-1.9499661929444765
16.0,-6.041852887004625,166.0455511868224,-166.04555118682237,-6.041852887004625
20.0,-9.9855102621625,166.0455511868224,-166.04555118682237,-9.9855102621625
24.0,-14.067548975120866,166.0455511868224,-166.04555118682237,-14.067548975120866
28.0,-17.976854626961515,166.0455511868224,-166.04555118682237,-17.976854626961515
32.0,-21.580652404540178,166.0455511868224,-166.04555118682237,-21.580652404540178
36.0,-24.904664664488312,166.0455511868224,-166.04555118682237,-24.904664664488312
40.0,-27.80679180340219,166.0455511868224,-166.04555118682237,-27.80679180340219
44.0,-30.422363563603056,166.0455511868224,-166.04555118682237,-30.422363563603056
48.0,-32.605390556594394,166.0455511868224,-166.04555118682237,-32.605390556594394
52.0,-34.40511351324059,166.0455511868224,-166.04555118682237,-34.40511351324059
56.0,-35.82614163853576,166.0455511868224,-166.04555118682237,-35.82614163853576
60.0,-36.83719717241896,166.0455511868224,-166.04555118682237,-36.83719717241896
64.0,-37.49349011225314,166.0455511868224,-166.04555118682237,-37.49349011225314
68.0,-37.83194638863639,166.0455511868224,-166.04555118682237,-37.83194638863639
72.0,-37.84731347019917,166.0455511868224,-166.04555118682237,-37.84731347019917
76.0,-37.55286281020205,166.0455511868224,-166.04555118682237,-37.55286281020205
80.0,-36.96529217414047,166.0455511868224,-166.04555118682237,-36.96529217414047
84.0,-36.10235226176628,166.0455511868224,-166.04555118682237,-36.10235226176628
88.0,-34.98196450908501,166.0455511868224,-166.04555118682237,-34.98196450908501
92.0,-33.610638499920796,166.0455511868224,-166.04555118682237,-33.610638499920796
96.0,-32.005768270543,166.0455511868224,-166.04555118682237,-32.005768270543
100.0,-30.184906618202888,166.0455511868224,-166.04555118682237,-30.184906618202888
104.0,-28.143051807131762,166.0455511868224,-166.04555118682237,-28.143051807131762
108.0,-25.696919305547333,166.0455511868224,-166.04555118682237,-25.696919305547333
112.0,-22.24847872035523,166.0455511868224,-166.04555118682237,-22.24847872035523
116.0,-18.64204144429786,166.0455511868224,-166.04555118682237,-18.64204144429786
120.0,-14.78451262303175,166.0455511868224,-166.04555118682237,-14.78451262303175
124.0,-11.078584284059312,166.0455511868224,-166.04555118682237,-11.078584284059312
