,Time,ACE,freq
231,7.499999999999998,-140.67618224862167,59.959837810557644
232,7.533333333333331,-140.42720860597709,59.95992766695344
233,7.566666666666665,-140.1414829929726,59.96002970417986
234,7.599999999999998,-139.81900894090532,59.960143350709345
235,7.633333333333331,-139.4589246174223,59.96026817465047
236,7.666666666666664,-139.05970946239646,59.9604038757489
237,7.6999999999999975,-138.61942699918922,59.96055027125468
238,7.733333333333331,-138.1359883062402,59.960707276655974
239,7.766666666666664,-137.6074159747181,59.96087488247406
240,7.799999999999997,-137.032089335471,59.96105312777149
241,7.83333333333333,-136.40895579609216,59.96124206796629
242,7.866666666666664,-135.73769258294718,59.961441770562445
243,7.899999999999997,-135.01880833769562,59.96165224680001
244,7.93333333333333,-134.2536812536034,59.96187345368342
245,7.966666666666663,-133.44453315743408,59.96210529121945
246,7.9999999999999964,-132.59434330756102,59.96234755361031
247,8.0,-133.75273608896637,59.962478916908516
248,8.033333333333333,-134.89769422215602,59.96250084184857
249,8.066666666666666,-133.57115287609912,59.96253489843628
250,8.1,-132.17315207288368,59.962580144357815
251,8.133333333333333,-131.3698526023148,59.96263663880617
252,8.166666666666666,-130.89992507232733,59.96270419077763
253,8.2,-130.5584875973101,59.962782478137676
254,8.233333333333333,-130.25137337442786,59.96287101100864
255,8.266666666666666,-129.94148027683121,59.96296917022248
256,8.299999999999999,-129.61514706450203,59.96307622887194
257,8.333333333333332,-129.268140447495,59.96319138410933
258,8.366666666666665,-128.8998895275338,59.96331377220877
259,8.399999999999999,-128.51128986696784,59.963442532609704
260,8.433333333333332,-128.1037752191638,59.96357679089818
261,8.466666666666665,-127.67891876695823,59.96371571636788
262,8.499999999999998,-127.23822528373611,59.96385853268505
263,8.533333333333331,-126.78301517349593,59.96400453877732
264,8.566666666666665,-126.31435494947083,59.96415312381612
265,8.599999999999998,-125.83301751932912,59.96430377888647
266,8.633333333333331,-125.33948480155466,59.964456095375844
267,8.666666666666664,-124.83396568339273,59.96460977651973
