ts,Pi,Pr,Prc,Per,Pet,ne,nec,Pcc,Pdc,Ptc,Pcc2,Pdc2,Ptc2,Pt
18.0,0.0,0.0,0.0,0.0,0.0,14477,14477,-39.02664650724406,0.0,-39.02664650724406,-39.02664650724406,0.0,-39.02664650724406,-38.369834006018635
18.00027777777778,0.0,0.0,0.0,0.0,0.0,14479,14479,-39.03920869389197,0.0,-39.03920869389197,-39.03920869389197,0.0,-39.03920869389197,-38.369834006018635
18.000555555555557,0.0,0.0,0.0,0.0,0.0,14479,14479,-39.033261120921615,0.0,-39.033261120921615,-39.033261120921615,0.0,-39.033261120921615,-38.369834006018635
18.000833333333336,0.0,0.0,0.0,0.0,0.0,14480,14480,-39.03280720193946,0.0,-39.03280720193946,-39.03280720193946,0.0,-39.03280720193946,-38.369834006018635
18.001111111111115,-0.6796912632145997,0.0,-0.011003872621154265,0.0,0.0,14482,14482,-39.043826713460106,0.0,-39.043826713460106,-39.043826713460106,0.0,-39.043826713460106,-38.369834006018635
18.001388888888894,-0.6796912632145997,0.0,-0.023137064849131767,0.0,0.0,14482,14482,-39.043826713460106,0.0,-39.043826713460106,-39.043826713460106,0.0,-39.043826713460106,-38.369834006018635
18.001666666666672,-0.6796912632145997,0.0,-0.023137064849131767,0.0,0.0,14484,14484,-39.056317860502176,0.0,-39.056317860502176,-39.056317860502176,0.0,-39.056317860502176,-38.369834006018635
18.00194444444445,-0.6796912632145997,0.0,-0.0287016390134724,0.0,0.0,14484,14484,-39.056317860502176,0.0,-39.056317860502176,-39.056317860502176,0.0,-39.056317860502176,-38.369834006018635
18.00222222222223,-0.827603422222526,0.0,-0.0287016390134724,0.0,0.0,14485,14485,-39.06319395549504,0.0,-39.06319395549504,-39.06319395549504,0.0,-39.06319395549504,-38.369834006018635
18.00250000000001,-0.827603422222526,0.0,-0.0287016390134724,0.0,0.0,14485,14485,-39.06319395549504,0.0,-39.06319395549504,-39.06319395549504,0.0,-39.06319395549504,-38.369834006018635
18.002777777777787,-0.827603422222526,0.0,-0.0287016390134724,0.0,0.0,14486,14486,-39.070044470708034,0.0,-39.070044470708034,-39.070044470708034,0.0,-39.070044470708034,-38.369834006018635
18.003055555555566,-0.827603422222526,0.0,-0.04180682667140175,0.0,0.0,14486,14486,-39.070044470708034,0.0,-39.070044470708034,-39.070044470708034,0.0,-39.070044470708034,-38.369834006018635
18.003333333333345,-1.1224681161963248,-1.1224681161963233,-1.019499455091564,0.0,0.0,14488,14488,-41.24554641417724,1.1926078384759122,-40.052938575701326,-41.24554641417724,1.1926078384759122,-40.052938575701326,-39.49230212221496
18.003611111111123,-1.1224681161963248,-1.1224681161963233,-1.019499455091564,0.0,0.0,14489,14489,-41.25237141747135,1.1926078384759122,-40.05976357899544,-41.25237141747135,1.1926078384759122,-40.05976357899544,-39.49230212221496
18.003888888888902,-1.1224681161963248,-1.1224681161963233,-1.0253090339348285,0.0,0.0,14492,14492,-41.271558428531314,1.1926078384759122,-40.0789505900554,-41.271558428531314,1.1926078384759122,-40.0789505900554,-39.49230212221496
18.00416666666668,-1.1224681161963248,-1.1224681161963233,-1.0304129439620873,0.0,0.0,14492,14492,-41.271558428531314,1.1926078384759122,-40.0789505900554,-41.271558428531314,1.1926078384759122,-40.0789505900554,-39.49230212221496
18.00444444444446,-1.278809668854053,-1.1224681161963233,-1.0304129439620873,0.0,0.0,14494,14494,-41.283341682067984,1.1926078384759122,-40.09073384359207,-41.283341682067984,1.1926078384759122,-40.09073384359207,-39.49230212221496
18.004722222222238,-1.278809668854053,-1.1224681161963233,-1.0477474435923477,0.0,0.0,14494,14494,-41.283341682067984,1.1926078384759122,-40.09073384359207,-41.283341682067984,1.1926078384759122,-40.09073384359207,-39.49230212221496
18.005000000000017,-1.278809668854053,-1.1224681161963233,-1.0591457593999662,0.0,0.0,14494,14494,-41.283341682067984,1.1926078384759122,-40.09073384359207,-41.283341682067984,1.1926078384759122,-40.09073384359207,-39.49230212221496
18.005277777777795,-1.278809668854053,-1.1224681161963233,-1.0643350427377232,0.0,0.0,14495,14495,-41.28982391758813,1.1926078384759122,-40.097216079112215,-41.28982391758813,1.1926078384759122,-40.097216079112215,-39.49230212221496
18.005555555555574,-1.4849644510386328,-1.1224681161963233,-1.0703872698960073,0.0,0.0,14496,14496,-41.29509380990967,1.1926078384759122,-40.10248597143376,-41.29509380990967,1.1926078384759122,-40.10248597143376,-39.49230212221496
18.005833333333353,-1.4849644510386328,-1.1224681161963233,-1.0703872698960073,0.0,0.0,14497,14497,-41.3017711670746,1.1926078384759122,-40.10916332859868,-41.3017711670746,1.1926078384759122,-40.10916332859868,-39.49230212221496
18.00611111111113,-1.4849644510386328,-1.1224681161963233,-1.0703872698960073,0.0,0.0,14497,14497,-41.3017711670746,1.1926078384759122,-40.10916332859868,-41.3017711670746,1.1926078384759122,-40.10916332859868,-39.49230212221496
18.00638888888891,-1.4849644510386328,-1.1224681161963233,-1.0764642038637489,0.0,0.0,14497,14497,-41.3017711670746,1.1926078384759122,-40.10916332859868,-41.3017711670746,1.1926078384759122,-40.10916332859868,-39.49230212221496
18.00666666666669,-1.664160247974917,-1.1224681161963233,-1.0885358583896694,0.0,0.0,14497,14497,-41.3017711670746,1.1926078384759122,-40.10916332859868,-41.3017711670746,1.1926078384759122,-40.10916332859868,-39.49230212221496
18.006944444444468,-1.664160247974917,-1.1224681161963233,-1.1068184519846358,0.0,0.0,14497,14497,-41.3017711670746,1.1926078384759122,-40.10916332859868,-41.3017711670746,1.1926078384759122,-40.10916332859868,-39.49230212221496
