ts,Pi,Pr,Prc,Per,Pet,ne,nec,Pcc,Pdc,Ptc,Pcc2,Pdc2,Ptc2,Pt
18.0,0.0,0.0,0.0,0.0,0.0,14477,11522,-39.02664650724406,0.0,-39.02664650724406,-39.02664650724406,0.0,-39.02664650724406,-38.369834006018635
18.00027777777778,0.0,0.0,0.0,0.0,0.0,14479,11524,-39.03920869389197,0.0,-39.03920869389197,-39.03920869389197,0.0,-39.03920869389197,-38.369834006018635
18.000555555555557,0.0,0.0,0.0,0.0,0.0,14479,11524,-39.033261120921615,0.0,-39.033261120921615,-39.033261120921615,0.0,-39.033261120921615,-38.369834006018635
18.000833333333336,0.0,0.0,0.0,0.0,0.0,14480,11525,-39.03280720193946,0.0,-39.03280720193946,-39.03280720193946,0.0,-39.03280720193946,-38.369834006018635
18.001111111111115,-0.32698543321821383,0.0,-0.011003872621154265,0.0,0.0,14482,11527,-39.043826713460106,0.0,-39.043826713460106,-39.043826713460106,0.0,-39.043826713460106,-38.369834006018635
18.001388888888894,-0.32698543321821383,0.0,-0.023137064849131767,0.0,0.0,14482,11527,-39.043826713460106,0.0,-39.043826713460106,-39.043826713460106,0.0,-39.043826713460106,-38.369834006018635
18.001666666666672,-0.32698543321821383,0.0,-0.023137064849131767,0.0,0.0,14484,11529,-39.056317860502176,0.0,-39.056317860502176,-39.056317860502176,0.0,-39.056317860502176,-38.369834006018635
18.00194444444445,-0.32698543321821383,0.0,-0.0287016390134724,0.0,0.0,14484,11529,-39.056317860502176,0.0,-39.056317860502176,-39.056317860502176,0.0,-39.056317860502176,-38.369834006018635
18.00222222222223,-0.38823790983586104,0.0,-0.0287016390134724,0.0,0.0,14485,11530,-39.06319395549504,0.0,-39.06319395549504,-39.06319395549504,0.0,-39.06319395549504,-38.369834006018635
18.00250000000001,-0.38823790983586104,0.0,-0.0287016390134724,0.0,0.0,14485,11530,-39.06319395549504,0.0,-39.06319395549504,-39.06319395549504,0.0,-39.06319395549504,-38.369834006018635
18.002777777777787,-0.38823790983586104,0.0,-0.0287016390134724,0.0,0.0,14486,11531,-39.070044470708034,0.0,-39.070044470708034,-39.070044470708034,0.0,-39.070044470708034,-38.369834006018635
18.003055555555566,-0.38823790983586104,0.0,-0.04180682667140175,0.0,0.0,14486,11531,-39.070044470708034,0.0,-39.070044470708034,-39.070044470708034,0.0,-39.070044470708034,-38.369834006018635
18.003333333333345,-0.5235934554727673,0.0,-0.048520672710351626,0.0,0.0,14488,11533,-39.08195979332011,0.0,-39.08195979332011,-39.08195979332011,0.0,-39.08195979332011,-38.369834006018635
18.003611111111123,-0.5235934554727673,0.0,-0.048520672710351626,0.0,0.0,14489,11534,-39.08878479661423,0.0,-39.08878479661423,-39.08878479661423,0.0,-39.08878479661423,-38.369834006018635
18.003888888888902,-0.5235934554727673,0.0,-0.054330251553616336,0.0,0.0,14492,11537,-39.10797180767419,0.0,-39.10797180767419,-39.10797180767419,0.0,-39.10797180767419,-38.369834006018635
18.00416666666668,-0.5235934554727673,0.0,-0.05943416158087504,0.0,0.0,14492,11537,-39.10797180767419,0.0,-39.10797180767419,-39.10797180767419,0.0,-39.10797180767419,-38.369834006018635
18.00444444444446,-0.6259589972723448,0.0,-0.05943416158087504,0.0,0.0,14494,11539,-39.11975506121086,0.0,-39.11975506121086,-39.11975506121086,0.0,-39.11975506121086,-38.369834006018635
18.004722222222238,-0.6259589972723448,0.0,-0.07676866121113557,0.0,0.0,14494,11539,-39.11975506121086,0.0,-39.11975506121086,-39.11975506121086,0.0,-39.11975506121086,-38.369834006018635
18.005000000000017,-0.6259589972723448,0.0,-0.08816697701875409,0.0,0.0,14494,11539,-39.11975506121086,0.0,-39.11975506121086,-39.11975506121086,0.0,-39.11975506121086,-38.369834006018635
18.005277777777795,-0.6259589972723448,0.0,-0.09335626035651093,0.0,0.0,14495,11540,-39.126237296731006,0.0,-39.126237296731006,-39.126237296731006,0.0,-39.126237296731006,-38.369834006018635
18.005555555555574,-0.7164421798773907,-1.249044916793224,-1.2669592440133681,-0.5326027369158339,0.7564032907123703,14496,11541,-41.65270676304425,1.3536488174931314,-40.29905794555112,-41.65270676304425,1.3410887874743014,-40.31161797556995,-39.61887892281186
18.005833333333353,-0.7164421798773907,-1.249044916793224,-1.2795192740321981,-0.5326027369158339,0.7564032907123703,14497,11540,-41.65938412020918,1.3410887874743014,-40.318295332734884,-41.65938412020918,1.3410887874743014,-40.318295332734884,-39.61887892281186
18.00611111111113,-0.7164421798773907,-1.249044916793224,-1.2864705946754624,-0.5326027369158339,0.7564032907123703,14497,11540,-41.65938412020918,1.334137466831037,-40.325246653378144,-41.65938412020918,1.334137466831037,-40.325246653378144,-39.61887892281186
18.00638888888891,-0.7164421798773907,-1.249044916793224,-1.2925475286432042,-0.5326027369158339,0.7564032907123703,14497,11539,-41.65938412020918,1.334137466831037,-40.325246653378144,-41.65938412020918,1.334137466831037,-40.325246653378144,-39.61887892281186
18.00666666666669,-0.7574713418591563,-1.249044916793224,-1.3113835185741094,-0.5326027369158339,0.7564032907123703,14497,11539,-41.65938412020918,1.3273731314260528,-40.33201098878313,-41.65938412020918,1.3273731314260528,-40.33201098878313,-39.61887892281186
18.006944444444468,-0.7574713418591563,-1.249044916793224,-1.3296661121690756,-0.5326027369158339,0.7564032907123703,14497,11538,-41.65938412020918,1.3273731314260528,-40.33201098878313,-41.65938412020918,1.3273731314260528,-40.33201098878313,-39.61887892281186
