time,ne
0.016666666666666666,56
0.03333333333333333,107
0.05,150
0.06666666666666667,202
0.08333333333333333,259
0.09999999999999999,319
0.11666666666666667,370
0.13333333333333333,424
0.15,466
0.16666666666666666,513
0.18333333333333332,565
0.19999999999999998,609
0.21666666666666667,671
0.23333333333333334,721
0.25,758
0.26666666666666666,807
0.2833333333333333,862
0.3,911
0.31666666666666665,965
0.3333333333333333,1004
0.35,1041
0.36666666666666664,1089
0.3833333333333333,1136
0.39999999999999997,1171
0.4166666666666667,1226
0.43333333333333335,1279
0.45,1325
0.4666666666666667,1369
0.48333333333333334,1420
0.5,1464
0.5166666666666667,1510
0.5333333333333333,1554
0.55,1591
0.5666666666666668,1633
0.5833333333333334,1673
0.6000000000000001,1721
0.6166666666666667,1770
0.6333333333333334,1821
0.65,1856
0.6666666666666667,1886
0.6833333333333333,1916
0.7000000000000001,1953
0.7166666666666667,1988
0.7333333333333334,2029
0.75,2062
0.7666666666666667,2108
0.7833333333333333,2140
0.8,2178
0.8166666666666668,2210
0.8333333333333334,2241
0.8500000000000001,2277
0.8666666666666667,2318
0.8833333333333334,2355
0.9,2400
0.9166666666666667,2441
0.9333333333333333,2477
0.9500000000000001,2511
0.9666666666666667,2545
0.9833333333333334,2571
1.0,2605
1.0166666666666666,2636
1.0333333333333332,2661
1.0499999999999998,2695
1.0666666666666667,2719
1.0833333333333333,2752
1.0999999999999999,2774
1.1166666666666667,2801
1.1333333333333333,2831
1.15,2863
1.1666666666666665,2880
1.1833333333333333,2911
1.2,2927
1.2166666666666666,2955
1.2333333333333332,2971
1.25,2990
1.2666666666666666,3015
1.2833333333333332,3034
1.2999999999999998,3059
1.3166666666666667,3083
1.3333333333333333,3110
1.3499999999999999,3136
1.3666666666666667,3167
1.3833333333333333,3191
1.4,3211
1.4166666666666665,3239
1.4333333333333333,3264
1.45,3291
1.4666666666666666,3303
1.4833333333333332,3329
1.5,3352
1.5166666666666666,3367
1.5333333333333332,3388
1.5499999999999998,3402
1.5666666666666667,3419
1.5833333333333333,3441
1.5999999999999999,3454
1.6166666666666667,3469
1.6333333333333333,3486
1.65,3507
1.6666666666666665,3525
1.6833333333333333,3546
1.7,3566
1.7166666666666666,3587
1.7333333333333332,3612
1.75,3619
1.7666666666666666,3641
1.7833333333333332,3662
1.7999999999999998,3677
1.8166666666666667,3692
1.8333333333333333,3711
1.8499999999999999,3727
1.8666666666666665,3739
1.8833333333333333,3754
1.9,3759
1.9166666666666665,3775
1.9333333333333333,3793
1.95,3805
1.9666666666666666,3817
1.9833333333333332,3834
2.0,3856
2.0166666666666666,3876
2.033333333333333,3894
2.05,3913
2.0666666666666664,3920
2.083333333333333,3931
2.1,3945
2.1166666666666667,3955
2.1333333333333333,3973
2.15,3984
2.1666666666666665,4001
2.183333333333333,4018
2.1999999999999997,4035
2.216666666666667,4045
2.2333333333333334,4059
2.25,4073
2.2666666666666666,4082
2.283333333333333,4089
2.3,4103
2.3166666666666664,4112
2.333333333333333,4121
2.35,4129
2.3666666666666667,4137
2.3833333333333333,4149
2.4,4157
2.4166666666666665,4165
2.433333333333333,4176
2.4499999999999997,4184
2.466666666666667,4196
2.4833333333333334,4210
2.5,4221
2.5166666666666666,4221
2.533333333333333,4228
2.55,4238
2.5666666666666664,4244
2.583333333333333,4250
2.6,4257
